Content.id,Content Name,ContentCode,Content.title,Content.Link,Content.type,Content.releaseDate,Current Curriculum,Age,Current Level,Goal (from Goal content),SCC Unit Age,SCC Unit Title,SEL Unit Age,SEL Unit Title,SEL Lesson Title
796,S051 Learning to Say No (796),S051,Learning to Say No,https://slp.everydayspeech.com/video/learning-to-say-no,video,2015-05-15,Social Communication Skills,"(2) Elementary School, (3) Middle & High School",Intermediate,Advocating for Yourself,(3) Middle & High School,What is Self-Advocacy?,,,
891,S014 Brain Stuck on One Thing - Younger (891),S014,Brain Stuck on One Thing - Younger,https://slp.everydayspeech.com/video/brain-stuck-on-one-thing-younger,video,2015-05-15,Social Communication Skills,"(1) Pre-k and K, (2) Elementary School","Intermediate, Advanced",Topic Radar,(2) Elementary School,Mastering Topic Radar,,,
36,S020 Making Small Talk - Older (36),S020,Making Small Talk - Older,https://slp.everydayspeech.com/video/making-small-talk-older,video,2015-05-15,Social Communication Skills,(3) Middle & High School,Intermediate,The Two W's,(3) Middle & High School,What are the Two W's?,,,
699,S063 Change In Your Schedule - Older (699),S063,Change In Your Schedule - Older,https://slp.everydayspeech.com/video/change-in-your-schedule-older,video,2015-05-15,Social Communication Skills,"(2) Elementary School, (3) Middle & High School",Emergent,Switching Tracks,,,,,
800,S067 Disagreeing Respectfully (800),S067,Disagreeing Respectfully,https://slp.everydayspeech.com/video/disagreeing-respectfully,video,2015-05-15,Social Communication Skills,(3) Middle & High School,Intermediate,Showing Respect,(3) Middle & High School,Respecting Others' Opinions,,,
417,S002 Introducing Yourself (417),S002,Introducing Yourself,https://slp.everydayspeech.com/video/introducing-yourself,video,2015-08-30,Social Communication Skills,"(1) Pre-k and K, (2) Elementary School",Emergent,Starting a Conversation,,,,,
461,S023 Figures of Speech (461),S023,Figures of Speech,https://slp.everydayspeech.com/video/figures-of-speech,video,2015-08-31,Social Communication Skills,"(2) Elementary School, (3) Middle & High School","Intermediate, Advanced",Disguised Thoughts,(3) Middle & High School,Understanding Disguised Thoughts,,,
1014,S046 Giving Compliments (1014),S046,Giving Compliments,https://slp.everydayspeech.com/video/giving-compliments-2,video,2015-08-31,Social Communication Skills,"(1) Pre-k and K, (2) Elementary School",Emergent,Giving and Receiving Compliments,(3) Middle & High School,Why Do We Give Compliments?,,,
1033,S010 Approaching A Group - Older (1033),S010,Approaching A Group - Older,https://slp.everydayspeech.com/video/approaching-a-group-older,video,2015-08-31,Social Communication Skills,(3) Middle & High School,Emergent,Working With a Group,,,,,
281,S038 Doing Things We Don't Want To Do (281),S038,Doing Things We Don't Want To Do,https://slp.everydayspeech.com/video/doing-things-we-don-t-want-to-do,video,2015-08-31,Social Communication Skills,"(1) Pre-k and K, (2) Elementary School",Emergent,Following Directions,(2) Elementary School,Following Directions the First Time,,,
52,S059 Accepting No for an Answer (52),S059,Accepting No for an Answer,https://slp.everydayspeech.com/video/accepting-no-for-an-answer,video,2015-08-31,Social Communication Skills,"(1) Pre-k and K, (2) Elementary School",Emergent,Asking Others to Play,(2) Elementary School,Including Others,,,
803,S078 Taking Responsibility (803),S078,Taking Responsibility,https://slp.everydayspeech.com/video/taking-responsibility,video,2015-08-31,Social Communication Skills,(3) Middle & High School,Intermediate,Accepting a Consequence,,,,,
344,S080 When's The Right Time to Make A Joke (344),S080,When's The Right Time to Make A Joke,https://slp.everydayspeech.com/video/when-s-the-right-time-to-make-a-joke,video,2015-08-31,Social Communication Skills,(3) Middle & High School,Intermediate,Using Humor & Sarcasm,(3) Middle & High School,Using Humor,,,
166,S034 Making a Good First Impression (166),S034,Making a Good First Impression,https://slp.everydayspeech.com/video/making-a-good-first-impression,video,2015-09-09,Social Communication Skills,"(2) Elementary School, (3) Middle & High School",Intermediate,Acting Like a Friend,,,,,
271,S042 Hidden Social Rules - Group Food (271),S042,Hidden Social Rules - Group Food,https://slp.everydayspeech.com/video/hidden-social-rules-group-food,video,2015-09-13,Social Communication Skills,"(1) Pre-k and K, (2) Elementary School",Emergent,Restaurant Rules,(2) Elementary School,Using the Restaurant Rules,,,
732,S024 Only Talking About Yourself (732),S024,Only Talking About Yourself,https://slp.everydayspeech.com/video/only-talking-about-yourself,video,2015-09-14,Social Communication Skills,"(2) Elementary School, (3) Middle & High School","Intermediate, Advanced",Topic Radar,(3) Middle & High School,Mastering Topic Radar,,,
265,S015 Making Small Talk - Younger (265),S015,Making Small Talk - Younger,https://slp.everydayspeech.com/video/making-small-talk-younger,video,2015-09-15,Social Communication Skills,"(2) Elementary School, (3) Middle & High School","Intermediate, Advanced",The Two W's,(2) Elementary School,What are the Two W's?,,,
834,S077 Fighting With Friends (834),S077,Fighting With Friends,https://slp.everydayspeech.com/video/fighting-with-friends,video,2015-09-15,Social Communication Skills,(3) Middle & High School,Advanced,Handling Conflicts With Friends,(3) Middle & High School,Apologizing to Friends,,,
325,S062 Taking a Break to Calm Down (325),S062,Taking a Break to Calm Down,https://slp.everydayspeech.com/video/taking-a-break-to-calm-down,video,2015-09-15,Social Communication Skills,"(1) Pre-k and K, (2) Elementary School",Emergent,Staying Calm,(2) Elementary School,Mastering Staying Calm,,,
996,S029 Listening with Your Body - Younger (996),S029,Listening with Your Body - Younger,https://slp.everydayspeech.com/video/listening-with-your-body-younger,video,2015-09-15,Social Communication Skills,"(1) Pre-k and K, (2) Elementary School",Emergent,Active Listening,(2) Elementary School,Practice Listening,,,
340,S076 Seeing Someone Else's Side - Older (340),S076,Seeing Someone Else's Side - Older,https://slp.everydayspeech.com/video/seeing-someone-else-s-side-older,video,2015-09-15,Social Communication Skills,"(2) Elementary School, (3) Middle & High School","Intermediate, Advanced",Understanding Others' Point of View,(3) Middle & High School,What is Point of View?,,,
26,"S035 Laughing With, Not At (26)",S035,"Laughing With, Not At",https://slp.everydayspeech.com/video/laughing-with-not-at,video,2015-09-15,Social Communication Skills,(3) Middle & High School,Advanced,Using Humor & Sarcasm,(3) Middle & High School,Using Humor,,,
1002,S045 Being a Tattletale (1002),S045,Being a Tattletale,https://slp.everydayspeech.com/video/being-a-tattletale,video,2015-09-15,Social Communication Skills,"(1) Pre-k and K, (2) Elementary School",Emergent,Handling Conflicts With Friends,(2) Elementary School,Solving Friendship Conflicts,,,
1025,S030 Tone of Voice (1025),S030,Tone of Voice,https://slp.everydayspeech.com/video/tone-of-voice,video,2015-09-15,Social Communication Skills,"(1) Pre-k and K, (2) Elementary School",Emergent,Tone of Voice,(2) Elementary School,Understanding Tone of Voice,,,
873,S005 Listening (873),S005,Listening,https://slp.everydayspeech.com/video/listening,video,2015-09-15,Social Communication Skills,"(1) Pre-k and K, (2) Elementary School",Emergent,Active Listening,(2) Elementary School,Practice Listening,,,
307,S012 Brain Stuck on One Thing - Older (307),S012,Brain Stuck on One Thing - Older,https://slp.everydayspeech.com/video/brain-stuck-on-one-thing-older,video,2015-09-15,Social Communication Skills,"(2) Elementary School, (3) Middle & High School","Intermediate, Advanced",Topic Radar,(3) Middle & High School,Mastering Topic Radar,,,
208,S064 Worry About Yourself - Older (208),S064,Worry About Yourself - Older,https://slp.everydayspeech.com/video/worry-about-yourself-older,video,2015-09-15,Social Communication Skills,(3) Middle & High School,Emergent,Ignoring Others' Behavior,,,,,
301,S055 Act Like You're Interested - Older (301),S055,Act Like You're Interested - Older,https://slp.everydayspeech.com/video/act-like-you-re-interested-older,video,2015-09-15,Social Communication Skills,(3) Middle & High School,Intermediate,Act Like You're Interested,(3) Middle & High School,How to Show Interest,,,
261,S069 Leaving Others Out (261),S069,Leaving Others Out,https://slp.everydayspeech.com/video/leaving-others-out,video,2015-09-15,Social Communication Skills,"(2) Elementary School, (3) Middle & High School",Intermediate,"Handling Rejection, Asking Others to Play","(2) Elementary School, (3) Middle & High School","Including Others, How to Handle Rejection",2nd Grade,Relationship Skills,How to be Inclusive
309,S032 Listening With Your Body - Older (309),S032,Listening With Your Body - Older,https://slp.everydayspeech.com/video/listening-with-your-body-older,video,2015-09-15,Social Communication Skills,"(2) Elementary School, (3) Middle & High School",Emergent,Active Listening,,,,,
81,S048 Showing Empathy - Younger (81),S048,Showing Empathy - Younger,https://slp.everydayspeech.com/video/showing-empathy-younger,video,2015-09-15,Social Communication Skills,"(2) Elementary School, (3) Middle & High School",Intermediate,Empathy Essentials,(2) Elementary School,Using the Empathy Essentials,,,
285,S040 Ignoring Other People (285),S040,Ignoring Other People,https://slp.everydayspeech.com/video/ignoring-other-people,video,2015-09-15,Social Communication Skills,"(1) Pre-k and K, (2) Elementary School",Emergent,Ignoring Others' Behavior,(2) Elementary School,How to Ignore Others,,,
1010,S031 Matching Body Language to Your Message (1010),S031,Matching Body Language to Your Message,https://slp.everydayspeech.com/video/matching-body-language-to-your-message,video,2015-09-15,Social Communication Skills,"(2) Elementary School, (3) Middle & High School","Intermediate, Advanced",Understanding Body Language,(3) Middle & High School,Reading Body Language,,,
540,S025 Texting Friends (540),S025,Texting Friends,https://slp.everydayspeech.com/video/texting-friends,video,2015-09-15,Social Communication Skills,"(2) Elementary School, (3) Middle & High School",Intermediate,Cyber Skills,(3) Middle & High School,Talking to Friends Online,,,
294,S054 Showing Empathy - Older (294),S054,Showing Empathy - Older,https://slp.everydayspeech.com/video/showing-empathy-older,video,2015-09-15,Social Communication Skills,(3) Middle & High School,Advanced,Empathy Essentials,(3) Middle & High School,What are the Empathy Essentials?,,,
810,S079 Spreading Rumors (810),S079,Spreading Rumors,https://slp.everydayspeech.com/video/spreading-rumors,video,2015-09-15,Social Communication Skills,(3) Middle & High School,Advanced,Acting Like a Friend,(3) Middle & High School,Close Friendships,,,
331,S019 Focusing on What People are Asking (331),S019,Focusing on What People are Asking,https://slp.everydayspeech.com/video/focusing-on-what-people-are-asking,video,2015-09-15,Social Communication Skills,"(1) Pre-k and K, (2) Elementary School",Emergent,Act Like You're Interested,,,,,
729,S011 Beginning and Ending a Conversation - Older (729),S011,Beginning and Ending a Conversation - Older,https://slp.everydayspeech.com/video/beginning-and-ending-a-conversation-older,video,2015-09-15,Social Communication Skills,(3) Middle & High School,Emergent,Starting a Conversation,(3) Middle & High School,How to Start a Conversation,,,
1043,S047 Saying Thank You (1043),S047,Saying Thank You,https://slp.everydayspeech.com/video/saying-thank-you,video,2015-09-15,Social Communication Skills,"(1) Pre-k and K, (2) Elementary School",Emergent,Acting Like a Friend,(2) Elementary School,Hanging out with Friends,,,
781,S008 Using Clues in Conversation (781),S008,Using Clues in Conversation,https://slp.everydayspeech.com/video/using-clues-in-conversation,video,2015-09-15,Social Communication Skills,"(2) Elementary School, (3) Middle & High School",Intermediate,Topic Radar,(2) Elementary School,Practicing Picking the Topic,,,
383,S081 Handling Embarrassment (383),S081,Handling Embarrassment,https://slp.everydayspeech.com/video/handling-embarrassment-3,video,2016-02-10,Social Communication Skills,"(2) Elementary School, (3) Middle & High School",Intermediate,Changing the Channel on Feelings,(3) Middle & High School,Handling Tough Emotions,,,
1042,S083  Introducing Yourself to a Peer - Social Short (1042),S083, Introducing Yourself to a Peer - Social Short,https://slp.everydayspeech.com/video/introducing-yourself-to-a-peer-social-short,video,2016-02-10,Social Communication Skills,"(1) Pre-k and K, (2) Elementary School",Emergent,Starting a Conversation,(2) Elementary School,Introducing Yourself,,,
210,S082 Telling a White Lie (210),S082,Telling a White Lie,https://slp.everydayspeech.com/video/white-lie,video,2016-02-14,Social Communication Skills,(3) Middle & High School,Advanced,Understanding Others' Point of View,(3) Middle & High School,Seeing Other's Point of View,,,
206,S084 What Are They Thinking About - Social Short (206),S084,What Are They Thinking About - Social Short,https://slp.everydayspeech.com/video/what-are-they-thinking-about-social-short,video,2016-02-15,Social Communication Skills,"(2) Elementary School, (3) Middle & High School",Intermediate,Understanding Others' Point of View,(3) Middle & High School,Seeing Other's Point of View,,,
30,S086 Opinions (30),S086,Opinions,https://slp.everydayspeech.com/video/opinions,video,2016-03-14,Social Communication Skills,"(2) Elementary School, (3) Middle & High School","Intermediate, Advanced",Showing Respect,(2) Elementary School,Respecting Others' Opinions,,,
1021,S088 Using Clues in Conversation - Older (1021),S088,Using Clues in Conversation - Older,https://slp.everydayspeech.com/video/using-clues-in-conversation-older,video,2016-03-15,Social Communication Skills,"(2) Elementary School, (3) Middle & High School",Intermediate,Topic Radar,(3) Middle & High School,Practicing Picking the Topic,,,
1037,S085 Compromising (1037),S085,Compromising,https://slp.everydayspeech.com/video/compromising-2,video,2016-03-22,Social Communication Skills,"(2) Elementary School, (3) Middle & High School","Intermediate, Advanced",Compromising,(3) Middle & High School,What is Compromising?,,,
266,S087 Sharing (266),S087,Sharing,https://slp.everydayspeech.com/video/sharing,video,2016-03-22,Social Communication Skills,"(1) Pre-k and K, (2) Elementary School",Emergent,Playing With Others,(2) Elementary School,Sharing,,,
319,S092 Working in Groups (319),S092,Working in Groups,https://slp.everydayspeech.com/video/working-in-groups,video,2016-04-12,Social Communication Skills,"(1) Pre-k and K, (2) Elementary School, (3) Middle & High School","Emergent, Intermediate",Working With a Group,(2) Elementary School,Why We Work in Groups,,,
306,S091 Not Asking for Help (306),S091,Not Asking for Help,https://slp.everydayspeech.com/video/not-asking-for-help,video,2016-04-15,Social Communication Skills,"(2) Elementary School, (3) Middle & High School",Intermediate,Asking For Help,(3) Middle & High School,Asking for Help or Clarification,,,
16,S089 Shifting the Conversation Topic (16),S089,Shifting the Conversation Topic,https://slp.everydayspeech.com/video/shifting-the-conversation-topic,video,2016-04-15,Social Communication Skills,"(2) Elementary School, (3) Middle & High School","Emergent, Intermediate",Topic Surfing,(2) Elementary School,What is Topic Surfing?,,,
329,S090 Getting a Bad Grade (329),S090,Getting a Bad Grade,https://slp.everydayspeech.com/video/getting-a-bad-grade,video,2016-04-15,Social Communication Skills,"(2) Elementary School, (3) Middle & High School",Intermediate,Changing the Channel on Feelings,(2) Elementary School,Changing the Channel on Emotions,,,
521,S094 Acting Like a Friend (521),S094,Acting Like a Friend,https://slp.everydayspeech.com/video/acting-like-a-friend-1,video,2016-05-15,Social Communication Skills,"(2) Elementary School, (3) Middle & High School",Intermediate,Acting Like a Friend,(2) Elementary School,Behaviors of Friends,,,
1034,S095 Keeping a Secret (1034),S095,Keeping a Secret,https://slp.everydayspeech.com/video/keeping-a-secret,video,2016-05-15,Social Communication Skills,"(2) Elementary School, (3) Middle & High School","Intermediate, Advanced",Acting Like a Friend,(3) Middle & High School,Close Friendships,,,
68,S093 Accepting Criticism (68),S093,Accepting Criticism,https://slp.everydayspeech.com/video/accepting-criticism,video,2016-05-18,Social Communication Skills,"(2) Elementary School, (3) Middle & High School","Intermediate, Advanced",Keeping an Open Mind,,,,,
380,S096 Waiting Your Turn (380),S096,Waiting Your Turn,https://slp.everydayspeech.com/video/waiting-your-turn-2,video,2016-05-18,Social Communication Skills,"(1) Pre-k and K, (2) Elementary School",Emergent,Playing With Others,(2) Elementary School,Playing Fairly,,,
276,W135 Interactive: Joining a Group (276),W135,Interactive: Joining a Group,https://slp.everydayspeech.com/activity/joining-a-group-3,activity,2016-05-21,Social Communication Skills,"(1) Pre-k and K, (2) Elementary School",Emergent,Starting a Conversation,(2) Elementary School,Join a Conversation,,,
267,S099 Washing Hands (267),S099,Washing Hands,https://slp.everydayspeech.com/video/washing-hands,video,2016-06-06,Social Communication Skills,"(1) Pre-k and K, (2) Elementary School",Emergent,Understanding Hygiene,(2) Elementary School,What is Hygiene?,,,
1009,S098 Introducing Yourself to an Adult (1009),S098,Introducing Yourself to an Adult,https://slp.everydayspeech.com/video/introducing-yourself-to-an-adult,video,2016-06-13,Social Communication Skills,"(2) Elementary School, (3) Middle & High School",Intermediate,Starting a Conversation,(2) Elementary School,Introducing Yourself,,,
372,S097 Getting A Bad Grade - Older (372),S097,Getting A Bad Grade - Older,https://slp.everydayspeech.com/video/getting-a-bad-grade-older,video,2016-06-14,Social Communication Skills,"(2) Elementary School, (3) Middle & High School",Intermediate,Changing the Channel on Feelings,(3) Middle & High School,Handling Tough Emotions,,,
262,S100 What Are They Thinking About - Younger (262),S100,What Are They Thinking About - Younger,https://slp.everydayspeech.com/video/what-are-they-thinking-about-younger,video,2016-06-15,Social Communication Skills,(2) Elementary School,Intermediate,Understanding Others' Point of View,(2) Elementary School,Seeing Other's Point of View,,,
690,S102 Listening to Others' Ideas (690),S102,Listening to Others' Ideas,https://slp.everydayspeech.com/video/listening-to-others-ideas,video,2016-09-15,Social Communication Skills,"(2) Elementary School, (3) Middle & High School",Intermediate,Working With a Group,(3) Middle & High School,How to Work in Groups,,,
1006,S103 Going to a Birthday Party (1006),S103,Going to a Birthday Party,https://slp.everydayspeech.com/video/going-to-a-birthday-party,video,2016-09-15,Social Communication Skills,"(1) Pre-k and K, (2) Elementary School",Emergent,Acting Like a Friend,(2) Elementary School,Hanging out with Friends,,,
58,S101 Using Social Media (58),S101,Using Social Media,https://slp.everydayspeech.com/video/using-social-media,video,2016-09-15,Social Communication Skills,(3) Middle & High School,"Intermediate, Advanced",Cyber Skills,(2) Elementary School,What are the Cyber Skills?,,,
23,S106 Making a Plan (23),S106,Making a Plan,https://slp.everydayspeech.com/video/making-a-plan,video,2016-09-15,Social Communication Skills,"(2) Elementary School, (3) Middle & High School","Intermediate, Advanced",Acting Like a Friend,(3) Middle & High School,Making Plans with Friends,,,
965,A001 Emotions Bingo I (965),A001,Emotions Bingo I,https://slp.everydayspeech.com/video/emotions-bingo-i,video,2016-10-08,"Social Communication Skills, Social Emotional Learning","(1) Pre-k and K, (2) Elementary School",Emergent,Identifying Feelings,(2) Elementary School,Describing Feelings,,,
701,S108 Joining a Group on the Playground (701),S108,Joining a Group on the Playground,https://slp.everydayspeech.com/video/joining-a-group-in-the-playground,video,2016-10-14,Social Communication Skills,"(1) Pre-k and K, (2) Elementary School",Emergent,"Handling Rejection, Asking Others to Play",(2) Elementary School,Practice Asking Others to Play,,,
695,S110 Participating (695),S110,Participating,https://slp.everydayspeech.com/video/participating,video,2016-10-15,Social Communication Skills,"(1) Pre-k and K, (2) Elementary School",Emergent,Playing With Others,(2) Elementary School,What to Say While Playing,,,
291,S111 Being Fair (291),S111,Being Fair,https://slp.everydayspeech.com/video/being-fair,video,2016-10-15,Social Communication Skills,"(1) Pre-k and K, (2) Elementary School",Emergent,Playing With Others,(2) Elementary School,Playing Fairly,,,
64,S112 Playground Conflict Resolution (64),S112,Playground Conflict Resolution,https://slp.everydayspeech.com/video/playground-conflict-resolution,video,2016-10-15,Social Communication Skills,"(1) Pre-k and K, (2) Elementary School",Emergent,Being a Good Sport,(2) Elementary School,Conflict Resolution,,,
376,S109 Why It's Fun to Play with Others (376),S109,Why It's Fun to Play with Others,https://slp.everydayspeech.com/video/why-it-s-fun-to-play-with-others,video,2016-10-15,Social Communication Skills,"(1) Pre-k and K, (2) Elementary School",Emergent,Playing With Others,(2) Elementary School,What to Say While Playing,,,
710,W127 Interactive: Identifying Problems & Solutions (710),W127,Interactive: Identifying Problems & Solutions,https://slp.everydayspeech.com/activity/identifying-problems-solutions,activity,2016-10-19,Social Communication Skills,"(1) Pre-k and K, (2) Elementary School",Emergent,Solving a Problem,(2) Elementary School,Master Solving Problems,,,
382,S116 Intro to Positive Self-Talk (382),S116,Intro to Positive Self-Talk,https://slp.everydayspeech.com/video/intro-to-positive-self-talk,video,2016-11-08,Social Communication Skills,"(2) Elementary School, (3) Middle & High School",Intermediate,Thinking Positive,(3) Middle & High School,What is Self-Talk?,,,
991,A003 Guess What Happens Next - Body Language (991),A003,Guess What Happens Next - Body Language,https://slp.everydayspeech.com/video/guess-what-happens-next-body-language,video,2016-11-15,Social Communication Skills,"(2) Elementary School, (3) Middle & High School","Emergent, Intermediate",Understanding Body Language,(2) Elementary School,Understanding Body Language,,,
140,S114 Being Left Out (140),S114,Being Left Out,https://slp.everydayspeech.com/video/being-left-out,video,2016-11-15,Social Communication Skills,"(2) Elementary School, (3) Middle & High School",Intermediate,Handling Rejection,(3) Middle & High School,How to Handle Rejection,,,
192,S117 It's Okay to be Wrong (192),S117,It's Okay to be Wrong,https://slp.everydayspeech.com/video/it-s-okay-to-be-wrong,video,2016-11-15,Social Communication Skills,"(2) Elementary School, (3) Middle & High School",Intermediate,Changing the Channel on Feelings,(3) Middle & High School,Changing the Channel on Emotions,,,
221,S115 Dealing with Teasing (221),S115,Dealing with Teasing,https://slp.everydayspeech.com/video/dealing-with-teasing,video,2016-11-15,Social Communication Skills,"(2) Elementary School, (3) Middle & High School",Intermediate,Handling Teasing and Bullying,(3) Middle & High School,How to Handle Bullying,,,
342,A002 Two Sides - Being Flexible & Being Rigid (342),A002,Two Sides - Being Flexible & Being Rigid,https://slp.everydayspeech.com/video/two-sides-being-flexible-being-rigid,video,2016-11-15,Social Communication Skills,"(1) Pre-k and K, (2) Elementary School, (3) Middle & High School",Emergent,Keeping an Open Mind,(2) Elementary School,How to Keep an Open Mind,,,
186,S124 Being Rejected by a Peer (186),S124,Being Rejected by a Peer,https://slp.everydayspeech.com/video/being-rejected-by-a-peer,video,2016-12-14,Social Communication Skills,"(2) Elementary School, (3) Middle & High School",Intermediate,Handling Rejection,(3) Middle & High School,What is Rejection?,,,
1029,S122 Observing Others (1029),S122,Observing Others,https://slp.everydayspeech.com/video/observing-others,video,2016-12-15,Social Communication Skills,"(2) Elementary School, (3) Middle & High School",Intermediate,Reading the Room,(2) Elementary School,What is Reading the Room?,,,
